type,startTime,sportTime,distance,maxPace,minPace,avgPace,calories,time,heartRate
8,2021-11-12 15:04:29+0000,215,450,0.45061514,290,0.74,23,20:31,91
8,2021-11-12 15:12:21+0000,307,440,0.44009736,349,0.878,23,20:32,98
,,,,,,,,20:33,96
,,,,,,,,20:34,91
,,,,,,,,20:35,105
,,,,,,,,20:36,115
,,,,,,,,20:37,114
,,,,,,,,20:38,117
,,,,,,,,20:39,112
,,,,,,,,20:40,108
,,,,,,,,20:41,104
,,,,,,,,20:42,82
,,,,,,,,20:43,94
,,,,,,,,20:44,99
,,,,,,,,20:45,98
,,,,,,,,20:46,100
,,,,,,,,20:47,105
,,,,,,,,20:48,100
,,,,,,,,20:49,98
,,,,,,,,20:50,97
,,,,,,,,20:51,101
,,,,,,,,20:52,95
,,,,,,,,20:53,107
,,,,,,,,20:54,103
